"entity_id","anzahl"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30027","125095"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30031","1"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30084","6745"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30095","92706"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30120","104190"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30121","103657"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30126","30"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30145","98809"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30146","99105"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30147","99021"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30151","57183"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30185","3998"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30207","88837"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30282","77312"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30390","22433"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30403","11785"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30420","1252"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30434","43105"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30462","1588"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30464","10709"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30466","13459"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30467","3732"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30515","20293"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30522","17374"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30524","18782"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30525","5"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30526","18304"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30527","18305"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:Summe","93896"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28760","147884"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28768","147754"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28769","147810"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28770","147790"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28771","147761"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28772","147769"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28773","147797"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28775","147821"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28776","147702"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28777","147792"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28778","147796"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28779","147633"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28780","147778"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28781","147883"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28782","147689"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28783","147770"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28784","147706"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28785","147772"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28786","147829"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28787","147792"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28788","147737"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28789","14012"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28790","14043"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28791","14012"
"urn:ngsi-ld:BikeHireDockingStation:Smile:28792","14026"
